番号,カテゴリ,事業者名/屋号,エリア,Instagramアカウント,フォロワー数(目安),活動内容,子ども向け活動,DM優先度,DMバリエーション,備考/アプローチポイント
1,料理・食・シェフ,Boulangerie MAISON NOBU,清澄白河/森下（江東区）,@maison_nobu,約17000,シリコンバレーで修業したオーナーシェフのパン屋。40種以上のパン,不明（店舗型）,高,A（料理・ものづくり系）,フォロワー多く影響力あり。パン作り体験の提案。清澄白河で認知度高い
2,料理・食・シェフ,料理教室 さとはなりか,中央区＆江東区,@shimmerrika,要確認,少人数制（1〜4名）の料理教室。火〜日開催,不明（少人数制で対応可能性あり）,高,A（料理・ものづくり系）,少人数制で子ども対応しやすい。江東区での開催実績あり
3,料理・食・シェフ,simple dimple kitchen,江東区,@simple_dimple_kitchen,要確認,お菓子販売＆お料理教室。リール投稿で情報発信,要確認,高,A（料理・ものづくり系）,江東区拠点で地元密着。お菓子作り体験としてフィットしやすい
4,料理・食・シェフ,こどもお菓子教室 Smile kitchen,江戸川区葛西,@smilekitchenyukko25,要確認,元調理・製菓専門学校アシスタント＋保育園調理経験。子ども向けお菓子教室,あり（子ども専門）,最高,A（料理・ものづくり系）,子ども専門で最もフィット。保育園経験あり。お土産付きレッスン。最優先でDM
5,料理・食・シェフ,けさらんぱさらん,江戸川区船堀,要調査（公式サイト: kesa-pasa.net）,要確認,16年以上続くパン教室・カフェ。親子パン教室・キッズパン教室・小学生パン教室あり,あり（親子・キッズ専用コース）,最高,A（料理・ものづくり系）,親子・キッズ専用コースが既にある。16年の実績で信頼性高。ホームページから問い合わせも可
6,料理・食・シェフ,やさしいおうち（Cooking School Yasashiiouchi）,墨田区,要調査（公式: peraichi掲載）,要確認,子ども・大人・外国人向け料理教室。元マクロビカフェオーナーシェフ,あり（子ども向けクラスあり）,最高,A（料理・ものづくり系）,子ども向けメニューが既にある。一人ひとりに合わせた指導。墨田区拠点
7,料理・食・シェフ,食育教室 おやこキッチン,台東区/墨田区近辺,要調査（クスパ掲載: schoolId=12551）,要確認,0歳からのお子様連れで参加できる食育教室。親子で楽しくクッキング,あり（親子食育専門）,高,A（料理・ものづくり系）,親子食育に完全特化。0歳から対応。墨田区エリアでアクセスしやすい
8,料理・食・シェフ,ブーランジェリーパンタレイ,清澄白河（江東区）,要調査（SNSあり: Instagram/Facebook/X）,要確認,元パティシエのオーナーシェフ。SARAH JAPAN MENU AWARD一つ星。2017年開店,不明（店舗型）,中,A（料理・ものづくり系）,受賞歴で信頼性高い。パン作り体験に可能性。清澄白河の人気店
9,料理・食・シェフ,Farm to Me,豊洲（江東区）,要調査（公式: farm-to-me.com）,要確認,隅田川沿いのベーカリー＆レストラン。奥田政行シェフが協力,不明（レストラン型）,中,A（料理・ものづくり系）,有名シェフ協力。Farm to Tableのコンセプトが食育体験にフィット
10,料理・食・シェフ,おたふく お好み焼き教室,江東区,要調査,要確認,オタフクソース運営。春休み・夏休み・冬休みに親子向けお好み焼き教室,あり（親子向け季節開催）,中,A（料理・ものづくり系）,企業運営で安定感あり。季節限定開催だが親子実績あり
